"id","name","number_of_review"
"26954553","The Last Minute Cottage Getaway","461"
"24797144","Sweet Suite in Asheville Y'all!","460"
"36958278","*Town Mtn*3 mi to Dwntn AVL*King*Starlink*Hot Tub*","460"
"15718256","The RAD Haus: Central, Lively, Comfortable","459"
"20801691","Relaxing Studio Close to Trails and Town","459"
"26276337","3 Mile Cabin, 3 miles to Downtown, Hot Tub, Views","459"
"47767006","*Cozy Tiny Cottage*  20 min to Downtown Asheville","458"
"22063379","Quiet Bright Bedroom Close to Downtown","457"
"32851430","Stylish House By Riverside Park - Entire House!","457"
"46277556","Trendy & Spacious Apt on Chicken Alley. DT AVL","456"
"155305","Cottage! BonPaul + Sharky's Hostel","454"
"22095619","Comfortable downtown Studio. Walk everywhere.","454"
"31411568","The Cumberland Cottage - Downtown","454"
"33521140","Wizards Hollow - Earth & Sky Dwellings","453"
"16977918","Cedar Cabin | Screened in Deck | Quiet | Downtown","451"
"16476358","Private Suite: Walk to Biltmore and Breweries","447"
"39487580","The River Nook✨A Tiny Refuge","447"
"8193368","Cozy AVL Suite Near Everything","443"
"25251626","Honey's Place: Asheville • River Arts • Biltmore","442"
"19561946","Downtown Artist Dream, Walk everywhere!","441"
"41452911","Modern Farmhouse Studio","439"
"25882810","West Asheville Rustic Studio","435"
"30686620","Cozy Asheville Getaway Mountain/Valley View","435"
"46901035","The Roost at Chicken Alley/Loft Style Downtown Apt","435"
"2072026","The Tree House Studio, Mins to Dwntwn. Pets!","434"
"23285263","Ultimate Asheville Airbnb #location","432"
"25418819","Tiny Home at the Gardens—Near Center of Asheville","432"
"23675467","Waffle Bar, Goats, Close to AVL, No Chore List","426"
"16846899","Downtown Oasis on Forsythe (NO Cleaning fee)","422"
"17861930","Magical large apartment downtown!","422"
"20131746","Asheville Cottage-Have power, internet and water","422"
"24476866","Imaginarium","420"
"50382189","Charming Montford Oasis, 5 Min. Walk to Downtown","420"
"41257687","Sunflower Suite, 10 minutes to Downtown","419"
"49232318","Asheville Cozy Tiny House with Hot Tub","419"
"8265544","5 Star Near Downtown & Biltmore","417"
"23451262","Clean and Cozy Cottage- pup friendly!","417"
"26690388","Convenient and Cozy Lookout Retreat","417"
"52149843","Chic Retreat:walk to Downtown:Sunset view","417"
"15124397","Modern Mountain Getaway","415"
"15231248","D&D's Dog-friendly West Asheville AirBnb","414"
"33522770","East West Nest ~ Walkable ~ Private ~ Stylish","414"
"20504787","PRIVATE & Cozy Guest House-Easy Access to Downtown","413"
"22517744","We're OPEN: Serenity Cottage w/HOT TUB & Courtyard","413"
"29902436","Modern Shipping Container Home","413"
"30069015","Boho Bungalow in walkable West AVL","413"
"26910515","Bright guest suite, hiking access | 7 Min to town","411"
"436476","8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN","410"
"18375617","Cozy Mountain Cottage","410"
"16587446","Modern Loft in Heart of Downtown","408"
"10632884","Private Suite near River Arts District & Biltmore","407"
"18022683","The West Asheville Loft","407"
"18929549","Off the Beat Inn Path","407"
"25518066","Cave Creek Hideaway","407"
"22984192","Private apt, Easy walk to town, No cleaning fee.","404"
"17794306","Beer City Room - Heart of West Asheville","402"
"5850649","Explore the Woods from a Quiet Apartment near Sierra Nevada","401"
"20583406","HayLo in Hip West Asheville: Walk, Bike, Ride!","401"
"23076921","North Asheville Urban Forest","400"
"31902908","Asheville Orange Oasis","400"
"22921667","Pet Friendly West Avl Tiny Home ~ 3mi to Downtown","399"
"15158878","A Step Back in Time - 1901 Estate Guest Cottage","398"
"35465122","Asheville Zen Studio ~ 3 miles to downtown","395"
"23739741","Central AVL location & 1/2 mile to Biltmore Estate","394"
"38217215","Serenity Now!","392"
"25322676","Private Suite with in-house massage","390"
"31493518","Cooper Cottage","390"
"11421709","Hazels Hideaway - Walk downtown - Sunny 1B/1B","387"
"30853857","Blue Ridge Retreat","387"
"29208295","Studio Apartment in West Asheville Private Home","385"
"45765329","AVL Round House - only 6 miles West of downtown","385"
"28466957","Asheville - Mountain Bike & Hike in Bent Creek!","384"
"17157429","Explore AVL from this Stylish, Cozy Apartment","382"
"14805266","The Space Between Downtown Asheville & RAD","379"
"36727850","Biltmore Hideaway: Luxury urban treetop retreat","379"
"2454666","The Hideaway, W. Asheville.  2 BR Perfect Location","378"
"13582513","West Asheville corridor. Walk everywhere!","378"
"18918238","Asheville Getaway...Fenced in Backyard!","378"
"31693217","Fire Pit | Fenced Yard | Safe | Modern | Inclusive","378"
"50304584","Comes with a cat. Walk to River Arts & Downtown","376"
"45438852","The Retreat in West Asheville","375"
"3529241","Walk to Downtown, Mid-Century Modern","374"
"20146236","Dog Friendly + Fenced in yard + Fire Pit + King +","374"
"15422307","Happy Hippie House: Walk to Restaurants/Shops/Bars","373"
"43256573","Modern Cabin Retreat w/ Sauna","373"
"11947108","2BR suite near Biltmore, Downtown & Mission Hosp.","372"
"2925486","Unique 1-bdrm apt big yard-near Downtown-pets ok","371"
"39440197","Private AVL studio w/Hot Tub! Close to it all!","370"
"3868910","The Henhouse","369"
"23343151","City Casita Downtown - FREE Parking!","368"
"17095670","Downtown Escape!","367"
"24280176","Spacious 2 bedroom apartment near Biltmore Estate","367"
"3084395","Asheville Modern Tree Top Bungalow w/ fire table!","365"
"32819433","Chicken Pie Alley, walkable to downtown","365"
"11283225","Airstream On The River","363"
"21013638","Garden Cottage 2.5 miles to downtown","363"
"27337463","Downtown Condo Self Checkin. Walk Everywhere -Safe","362"
"32760750","Asheville 1 Cozy Bungalow. Pets OK! 5 Min To Dwtn","362"
"36550199","THE NEST | Weeknight Discount!  This is your sign!","360"
"12107874","Walk to downtown, River Arts & South Slope!","359"
"19326768","Walk to Downtown! Dogs Stay Free! “The Peacock”","359"
"19548415","Private Suite, private entry.","359"
"29674621","Historic Victorian Home near Aston Park","358"
"29026930","🏃‍♂️Walkable West Asheville","353"
"32415241","Cal’s Cabin","353"
"8443279","Walk to Downtown! Dogs Stay Free! “The Cottage”","351"
"9944111","The Serenity Yurt","351"
"16477857","Live in a Work of Art!","351"
"30050870","The Hill on Lexington Market","351"
"43557709","SweetHaus: Cool cozy cottage; AWESOME location","351"
"33550216","The Aerie - Earth & Sky Dwellings","350"
"721993461963622015","Sweet and welcoming studio 
apartment","350"
"15568000","Namaste Yurt, best of both worlds","348"
"29098489","Blue Ridge Parkway Treehouse","348"
"5481195","Asheville's Famous ""Pink House"" Studio Apartment.","347"
"18784621","Downtown love, downtown life.","347"
"15371871","Asheville Garden Cottage ~ One Night Stays Welcome","346"
"16147877","Sandy's Place","345"
"17591050","Historic Home Near Downtown Asheville Pvt Bed/Bath","345"
"26829259","Creekside ~ w/HOTTUB~  8 miles to downtown Ashe NC","345"
"33099066","Centrally Located RAD Bungalow","345"
"7630648","Sunny Modern Country Apartment with Spa and Sauna","344"
"31186872","WALK to Downtown AVL + River Arts District","344"
"22308959","Hot Tub & Mountain View Gameroom Sleeps 9","343"
"36573403","First floor at the Hill on Lexington Market","341"
"46579429","Historic DT pet-friendly suite w/hot tub & views!","341"
"17649947","Private Luxury Apartment-Asheville","340"
"40784083","THE HIVE | BIG Discounts THIS Summer! Come to WNC!","340"
"38538781","Private Guest House! Walkable West Asheville","339"
"10360188","Perfectly cozy location 1/2 mile to downtown.","337"
"11609580","Spacious, Chic Grove Park Studio - 5 Min Dwntwn","337"
"38448857","Charming Tiny House by the Biltmore Village","337"
"33362049","Modern Luxury in RAD, Stylish Balcony","336"
"35038518","Arts & Crafts Home off Blue Ridge Parkway","336"
"27931927","Forest retreat near Biltmore and Downtown -Dogs OK","335"
"12144656","Cottage McIntyre Near Downtown! Weddings!","334"
"12918380","Clean & Private Bungalow in W. AVL with Hot Tub","334"
"12944995","Clean and Cozy Country Garden Getaway with Hot Tub","334"
"33296597","Vast Sky Mountain View Asheville Studio","334"
"4394670","Sweet Suite","333"
"38597290","The Cozy Cottage with the Illusion of Seclusion","333"
"42831124","Romantic Getaway & Playroom w/Hot Tub!","333"
"44299517","*Mtn Views*3mi to Downtown*King Bed*Hot Tub*","333"
"29491343","Your Asheville Adventure Base","331"
